Year,Country,Military_Expenditure_Billion_USD,Active_Personnel,GDP_Growth_Percent,Inflation_Rate_Percent,Conflict_Severity_Index,Significant_Event
1967,Israel,3.01,386427,1.58,9.77,9,Six-Day War
1968,Israel,1.3,177732,4.68,10.63,0,None
1969,Israel,1.27,199852,2.2,6.48,1,None
1970,Israel,1.57,185445,1.36,10.49,1,None
1971,Israel,1.63,169548,3.38,1.49,1,None
1972,Israel,1.72,148415,2.77,9.31,2,None
1973,Israel,5.59,386540,4.44,3.55,10,Yom Kippur War
1974,Israel,1.94,178757,4.33,7.42,0,None
1975,Israel,1.73,172201,1.3,3.09,0,None
1976,Israel,2.03,185106,2.26,2.99,0,None
1977,Israel,2.17,182783,4.0,3.72,1,None
1978,Israel,1.98,168538,5.87,3.29,0,None
1979,Israel,2.23,177626,1.96,4.19,2,None
1980,Israel,2.31,141252,6.98,128.32,1,None
1981,Israel,2.7,195393,3.32,252.62,2,None
1982,Israel,4.23,357715,-0.06,136.84,7,Lebanon War
1983,Israel,2.75,191332,5.07,220.98,0,None
1984,Israel,2.65,159963,0.95,168.78,2,None
1985,Israel,2.82,157144,1.26,94.91,2,None
1986,Israel,3.45,164071,5.12,2.26,0,None
1987,Israel,3.15,176034,4.94,5.05,0,None
1988,Israel,3.29,163954,2.99,8.14,1,None
1989,Israel,3.99,153716,7.37,12.14,1,None
1990,Israel,3.56,182928,7.93,5.11,0,None
1991,Israel,3.8,162574,2.6,5.64,1,None
1992,Israel,3.92,193295,3.78,4.34,0,None
1993,Israel,4.87,154178,2.94,3.27,2,None
1994,Israel,4.95,148717,0.97,9.1,1,None
1995,Israel,4.98,144621,5.73,6.41,2,None
1996,Israel,4.93,180940,3.28,7.71,2,None
1997,Israel,5.27,148152,2.46,6.73,2,None
1998,Israel,6.18,169926,4.15,2.37,0,None
1999,Israel,6.02,184243,-0.35,3.83,0,None
2000,Israel,6.63,166734,7.13,6.67,2,None
2001,Israel,6.46,155728,-0.02,8.2,0,None
2002,Israel,7.65,194553,1.17,6.79,2,None
2003,Israel,6.86,143812,2.77,1.22,1,None
2004,Israel,8.42,150589,4.1,2.51,0,None
2005,Israel,8.66,178110,4.35,7.72,2,None
2006,Israel,8.76,181605,3.98,6.35,6,Second Lebanon War
2007,Israel,8.5,178328,4.57,10.35,1,None
2008,Israel,9.4,172043,2.18,6.92,0,None
2009,Israel,9.82,142048,0.95,7.39,0,None
2010,Israel,10.03,172254,9.57,0.17,0,None
2011,Israel,9.74,199383,2.8,7.28,0,None
2012,Israel,12.02,191976,2.55,12.3,2,None
2013,Israel,10.89,182078,4.34,5.27,2,None
2014,Israel,11.77,145415,5.16,6.49,0,None
2015,Israel,13.58,163325,3.12,6.38,2,None
2016,Israel,13.5,180345,3.45,6.82,1,None
2017,Israel,14.85,183303,7.54,3.8,2,None
2018,Israel,14.77,145984,4.04,10.03,0,None
2019,Israel,16.11,151246,5.66,1.63,2,None
2020,Israel,15.56,181157,-2.2,6.71,1,None
2021,Israel,19.0,155374,3.97,8.16,1,None
2022,Israel,16.77,173187,5.94,7.16,0,None
2023,Israel,47.01,459029,3.9,10.52,10,Gaza/Regional War
2024,Israel,51.37,495180,0.46,2.06,10,Gaza/Regional War
2025,Israel,55.03,454382,3.83,3.58,10,Gaza/Regional War
2026,Israel,54.46,479666,4.41,6.55,10,Gaza/Regional War
1948,Iran,0.98,427834,3.28,10.98,1,None
1949,Iran,1.05,481886,5.13,5.5,1,None
1950,Iran,1.15,475885,2.96,8.68,2,None
1951,Iran,1.08,387219,2.29,13.91,0,None
1952,Iran,1.2,484869,2.25,8.51,1,None
1953,Iran,1.14,450158,1.39,7.81,4,Coup d'état
1954,Iran,1.08,406264,1.91,11.98,0,None
1955,Iran,1.33,363224,3.08,7.16,1,None
1956,Iran,1.25,489649,0.39,1.65,2,None
1957,Iran,1.3,391914,1.25,9.55,0,None
1958,Iran,1.28,369956,3.04,12.09,2,None
1959,Iran,1.52,369097,2.96,6.68,2,None
1960,Iran,1.51,351759,3.53,9.93,2,None
1961,Iran,1.43,443501,2.35,8.36,0,None
1962,Iran,1.58,422847,2.07,10.32,1,None
1963,Iran,1.64,487717,-0.66,6.28,1,None
1964,Iran,1.69,415155,4.08,9.24,2,None
1965,Iran,1.5,453177,5.17,6.02,0,None
1966,Iran,1.61,455947,5.94,3.48,2,None
1967,Iran,1.86,426218,8.64,10.45,0,None
1968,Iran,1.92,422258,3.79,12.93,1,None
1969,Iran,2.03,437127,4.92,11.33,2,None
1970,Iran,1.85,404771,1.34,11.85,2,None
1971,Iran,2.13,397057,4.15,6.25,1,None
1972,Iran,1.98,373236,1.02,7.55,1,None
1973,Iran,2.04,466243,0.94,15.26,1,None
1974,Iran,2.15,488155,2.79,10.77,1,None
1975,Iran,2.01,440093,0.83,9.64,1,None
1976,Iran,2.18,352573,5.24,13.17,0,None
1977,Iran,2.37,405029,1.5,15.56,1,None
1978,Iran,2.58,476678,5.4,11.62,0,None
1979,Iran,2.66,381653,-9.0,7.96,8,Islamic Revolution
1980,Iran,5.25,1500000,-2.0,22.27,10,Iran-Iraq War
1981,Iran,5.22,1500000,-2.0,21.16,10,Iran-Iraq War
1982,Iran,5.34,1500000,-2.0,24.33,10,Iran-Iraq War
1983,Iran,6.13,1500000,-2.0,26.3,10,Iran-Iraq War
1984,Iran,5.25,1500000,-2.0,21.64,10,Iran-Iraq War
1985,Iran,6.51,1500000,-2.0,25.37,10,Iran-Iraq War
1986,Iran,5.96,1500000,-2.0,22.89,10,Iran-Iraq War
1987,Iran,6.28,1500000,-2.0,24.86,10,Iran-Iraq War
1988,Iran,6.23,1500000,-2.0,26.6,10,Iran-Iraq War
1989,Iran,3.64,438929,2.88,8.02,2,None
1990,Iran,3.78,386408,0.86,9.32,1,None
1991,Iran,3.72,481410,5.13,11.86,2,None
1992,Iran,3.78,455423,2.59,11.9,0,None
1993,Iran,3.82,440600,4.36,10.62,2,None
1994,Iran,3.83,369541,1.34,13.16,1,None
1995,Iran,3.64,487809,6.21,1.86,2,None
1996,Iran,3.78,424910,5.3,3.96,0,None
1997,Iran,4.1,484055,-0.66,6.15,2,None
1998,Iran,4.49,356640,7.58,11.46,0,None
1999,Iran,4.85,429273,3.06,12.99,2,None
2000,Iran,5.11,475341,4.78,9.48,2,None
2001,Iran,4.69,366371,3.45,8.33,2,None
2002,Iran,5.16,455373,0.14,4.72,0,None
2003,Iran,4.88,352050,-0.22,9.1,1,None
2004,Iran,5.75,462573,0.32,11.91,0,None
2005,Iran,5.88,485566,6.6,7.0,2,None
2006,Iran,5.97,474988,4.63,5.4,2,None
2007,Iran,5.34,478301,5.16,10.62,1,None
2008,Iran,6.07,430435,3.2,8.02,0,None
2009,Iran,5.69,391844,3.24,8.5,0,None
2010,Iran,5.9,495271,2.51,9.5,2,None
2011,Iran,6.43,396600,2.75,6.48,1,None
2012,Iran,3.76,462855,-5.0,35.0,0,None
2013,Iran,4.06,410504,-5.0,35.0,1,None
2014,Iran,4.42,393642,-5.0,35.0,0,None
2015,Iran,4.54,431121,-5.0,35.0,2,None
2016,Iran,8.05,462217,4.6,10.12,0,None
2017,Iran,7.83,436988,3.47,13.57,1,None
2018,Iran,5.95,478322,-3.0,40.0,2,None
2019,Iran,5.32,449616,-3.0,40.0,0,None
2020,Iran,5.42,455228,-3.0,40.0,1,None
2021,Iran,6.62,419274,-3.0,40.0,2,None
2022,Iran,6.75,418344,-3.0,40.0,1,None
2023,Iran,6.12,442241,-3.0,40.0,0,None
2024,Iran,6.7,425713,-3.0,40.0,7,Israel-Iran Direct Strikes / Proxy War
2025,Iran,6.87,494059,-3.0,40.0,7,Israel-Iran Direct Strikes / Proxy War
2026,Iran,7.38,494353,-3.0,40.0,7,Israel-Iran Direct Strikes / Proxy War
